Guillermo,Geisinger,8050,70+,F,savings account,$
Vinnie,Fadei,8003,70+,F,savings account,$$$
Nanette,Lefkowitz,8049,60-70,M,credit card,$$
Larissa,Dutremble,8051,18-30,M,savings account,$$$$
Tawanda,Kluever,8001,40-50,M,credit card,$
Phyllis,Cumins,8032,70+,M,credit card,$$$
Destiny,Starnaud,8049,30-40,F,credit card,$$
Zina,Perry,8053,70+,F,credit card,$$$$
Wendy,Breitenbach,8053,30-40,F,savings account,$
Chanel,Genzone,8051,18-30,M,credit card,$$
Leeanna,Parfitt,8001,70+,M,credit card,$$$
Latrina,Laster,8004,30-40,M,savings account,$
Chauncey,Taschner,8038,60-70,M,savings account,$$$$
Stanford,Hulings,8057,30-40,M,credit card,$
Fermina,Liberty,8064,70+,M,savings account,$
Annmarie,Hemeon,8037,18-30,F,credit card,$$$
Ralph,Swoager,8037,40-50,M,mortgage,$
Zoraida,Lenigan,8006,30-40,F,mortgage,$$$$$
Apolonia,Voitier,8053,40-50,F,credit card,$$$
Melba,Majid,8050,40-50,M,credit card,$$
Alexis,Bohlinger,8044,30-40,F,savings account,$$$$$
Belva,Morphy,8005,30-40,F,credit card,$
Luther,Kavanah,8045,70+,M,mortgage,$
Dong,Nagelkirk,8047,50-60,M,credit card,$$$$
Emerson,Lofthus,8005,30-40,F,credit card,$
Lita,Iguina,8049,18-30,F,savings account,$$$
Oren,Mcdonalds,8048,30-40,F,credit card,$
Anamaria,Semons,8064,40-50,M,credit card,$$$
Burton,Waskom,8032,30-40,M,mortgage,$$
Lashanda,Johnston,8004,30-40,F,mortgage,$$$$
Sasha,Kempe,8047,50-60,F,savings account,$$$
Loraine,Cholewinski,8047,60-70,F,credit card,$$
Cornell,Rivord,8001,40-50,M,credit card,$$
Amos,Grotzinger,8046,60-70,F,credit card,$$$$$
Chauncey,Quenzer,8004,40-50,F,credit card,$$
Shaquana,Kucharik,8048,40-50,M,credit card,$$$
Selina,Levett,8051,40-50,F,savings account,$$
Eura,Kennealy,8049,60-70,M,credit card,$$
Karoline,Joerling,8006,30-40,F,mortgage,$
Gertha,Zellinger,8045,70+,F,savings account,$
Katheryn,Bergan,8052,70+,M,savings account,$
Veola,Bacarella,8037,40-50,F,credit card,$
Allison,Cauterucci,8052,40-50,F,credit card,$$$
Russell,Clewes,8055,70+,F,mortgage,$$$$
Valery,Badamo,8048,30-40,F,savings account,$
Nicolas,Dusza,8051,40-50,M,mortgage,$$$$
Kym,Obermiller,8050,50-60,F,credit card,$$
Jamie,Manner,8037,70+,M,credit card,$$$
Marg,Fleet,8053,40-50,F,mortgage,$$
Alise,Forshee,8044,40-50,F,savings account,$
Jarod,Pockette,8052,50-60,M,savings account,$$$$$
Lisandra,Hiney,8044,40-50,F,savings account,$$
Janay,Smuck,8048,70+,M,credit card,$$
Marlen,Akiyama,8045,40-50,M,mortgage,$$$
Margret,Barranca,8048,18-30,F,mortgage,$$$
Donna,Tebbetts,8044,70+,F,savings account,$
Malisa,Grannan,8055,30-40,F,credit card,$$$
Rolland,Temkin,8003,50-60,F,savings account,$$$$
Marianela,Bouliouris,8044,40-50,M,credit card,$$$$$
Ahmad,Berbes,8038,40-50,F,credit card,$$
Elijah,Mangual,8037,30-40,F,savings account,$
Clement,Tacker,8038,18-30,F,savings account,$
Kellie,Nash,8001,50-60,M,savings account,$$$
Vance,Newsum,8046,60-70,F,credit card,$$$$
Rufus,Poloskey,8049,70+,M,credit card,$$$$$
Ruthann,Egvirre,8052,70+,F,savings account,$
Lynell,Graner,8041,70+,M,credit card,$$
Leia,Freiberger,8004,30-40,M,credit card,$$
Zoraida,Lab,8046,70+,M,credit card,$
Lady,Haltom,8057,40-50,M,credit card,$$$$
Denis,Kiryakoza,8005,60-70,M,savings account,$$
Catrina,Ficke,8064,70+,M,mortgage,$$
Maura,Sembrat,8047,40-50,M,credit card,$$
Leif,Ronnie,8048,50-60,M,credit card,$
Tanisha,Dingee,8050,18-30,M,savings account,$
Garry,Hylan,8050,70+,M,credit card,$$
Glenn,Rathe,8038,40-50,F,savings account,$
Tari,Bolding,8001,18-30,M,mortgage,$$
Bruno,Athanasiou,8053,70+,M,savings account,$
Fairy,Conradi,8055,18-30,F,credit card,$$$$
Emmett,Petillo,8049,18-30,F,credit card,$$$
Kristle,Derizzio,8055,40-50,F,mortgage,$
Amy,Staker,8049,50-60,M,savings account,$
Irish,Mcgilton,8050,30-40,F,credit card,$$
Andreas,Mcmains,8032,18-30,M,savings account,$$$$
Jane,Centola,8001,40-50,M,savings account,$$
Dominick,Nigon,8052,30-40,F,credit card,$$
